company_cd,pipeline_id,attr_code,attr_value
TESTCOMP,2026-016,ATTR_ORD_TIME,12월
TESTCOMP,2026-016,ATTR_BIZ_STR,단독
TESTCOMP,2026-005,ATTR_ORD_TIME,1월
TESTCOMP,2026-005,ATTR_CON_TIME,1월 말 또는 2월 초
TESTCOMP,2026-005,ATTR_BIZ_STR,주관사
TESTCOMP,2026-007,ATTR_BIZ_STR,단독
TESTCOMP,2026-008,ATTR_BIZ_STR,단독
TESTCOMP,2026-006,ATTR_ORD_TIME,3월
TESTCOMP,2026-006,ATTR_BIZ_STR,미정
TESTCOMP,2026-020,ATTR_ORD_TIME,4월
TESTCOMP,2026-022,ATTR_ORD_TIME,3월
TESTCOMP,2026-026,ATTR_CON_TIME,3월 말 예상
TESTCOMP,2026-026,ATTR_BIZ_STR,주관사
TESTCOMP,2025-001,ATTR_CON_TIME,6월
TESTCOMP,2025-001,ATTR_CHANGE,N
TESTCOMP,2025-002,ATTR_CON_TIME,6월
TESTCOMP,2025-002,ATTR_BIZ_STR,"- 주관사 : 모비젠
- 하도급 : 케이엘큐브"
TESTCOMP,2025-002,ATTR_CHANGE,N
TESTCOMP,2025-003,ATTR_CON_TIME,4월
TESTCOMP,2025-003,ATTR_BIZ_STR,"- 주관사 : KT
- 하도급1 : 케이엘큐브
- 하도급2 : 코난테크놀로지"
TESTCOMP,2025-003,ATTR_CHANGE,N
TESTCOMP,2025-004,ATTR_CON_TIME,2026년
TESTCOMP,2025-004,ATTR_CHANGE,N
TESTCOMP,2025-005,ATTR_CON_TIME,"잠정적 보류로
인해 지속 확인 중"
TESTCOMP,2025-005,ATTR_CHANGE,N
TESTCOMP,2025-006,ATTR_CON_TIME,잠정적 보류
TESTCOMP,2025-006,ATTR_CHANGE,N
TESTCOMP,2025-007,ATTR_CON_TIME,2026년
TESTCOMP,2025-007,ATTR_CHANGE,N
TESTCOMP,2025-008,ATTR_CON_TIME,2월
TESTCOMP,2025-008,ATTR_CHANGE,N
TESTCOMP,2025-009,ATTR_CON_TIME,2월
TESTCOMP,2025-009,ATTR_CHANGE,N
TESTCOMP,2025-010,ATTR_CON_TIME,상반기
TESTCOMP,2025-010,ATTR_CHANGE,N
TESTCOMP,2025-011,ATTR_CON_TIME,미정
TESTCOMP,2025-011,ATTR_CHANGE,N
TESTCOMP,2025-012,ATTR_CON_TIME,상반기
TESTCOMP,2025-012,ATTR_CHANGE,N
TESTCOMP,2025-013,ATTR_CON_TIME,미정
TESTCOMP,2025-013,ATTR_CHANGE,N
TESTCOMP,2025-014,ATTR_CHANGE,N
TESTCOMP,2025-015,ATTR_CON_TIME,4월
TESTCOMP,2025-015,ATTR_BIZ_STR,- 주관사 : 트루본
TESTCOMP,2025-015,ATTR_CHANGE,N
TESTCOMP,2025-016,ATTR_CON_TIME,미정
TESTCOMP,2025-016,ATTR_BIZ_STR,- 본사영업
TESTCOMP,2025-016,ATTR_CHANGE,N
TESTCOMP,2025-017,ATTR_CON_TIME,5월~6월
TESTCOMP,2025-017,ATTR_BIZ_STR,- 본사영업
TESTCOMP,2025-017,ATTR_CHANGE,N
TESTCOMP,2025-018,ATTR_CON_TIME,5월
TESTCOMP,2025-018,ATTR_BIZ_STR,- 본사영업
TESTCOMP,2025-018,ATTR_CHANGE,N
TESTCOMP,2025-019,ATTR_CON_TIME,미정
TESTCOMP,2025-019,ATTR_BIZ_STR,- 본사영업
TESTCOMP,2025-019,ATTR_CHANGE,N
TESTCOMP,2025-020,ATTR_BIZ_STR,- 엘토브
TESTCOMP,2025-020,ATTR_CHANGE,N
TESTCOMP,2025-021,ATTR_CON_TIME,3월말
TESTCOMP,2025-021,ATTR_BIZ_STR,- 윤커뮤니케이션즈
TESTCOMP,2025-021,ATTR_CHANGE,N
TESTCOMP,2025-022,ATTR_CON_TIME,7월~8월중
TESTCOMP,2025-022,ATTR_BIZ_STR,- 엘토브
TESTCOMP,2025-022,ATTR_CHANGE,N
TESTCOMP,2025-023,ATTR_CON_TIME,상반기
